message_id,channel_name,image_path,detected_objects,image_category,object_count
26351,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26351.jpg,cup:0.35,product_display,1
26352,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26352.jpg,bottle:0.52,product_display,1
26353,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26353.jpg,"parking meter:0.29, cell phone:0.26",other,2
26354,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26354.jpg,none,other,0
26355,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26355.jpg,book:0.25,other,1
26356,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26356.jpg,"bottle:0.64, bottle:0.63, bottle:0.40, bottle:0.36, bottle:0.35, bottle:0.34, bottle:0.34, bottle:0.31, bottle:0.27, bottle:0.27, bottle:0.26",product_display,11
26357,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26357.jpg,"refrigerator:0.51, bottle:0.44, bottle:0.40, dining table:0.30, bottle:0.29, bottle:0.28, bottle:0.28, bottle:0.26",product_display,8
26358,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26358.jpg,"bottle:0.48, bottle:0.47, bottle:0.43, bottle:0.27",product_display,4
26359,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26359.jpg,"bottle:0.57, bottle:0.38, bottle:0.27, bottle:0.26, bottle:0.26",product_display,5
26360,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26360.jpg,bottle:0.44,product_display,1
26361,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26361.jpg,"bottle:0.50, bottle:0.35, bottle:0.32",product_display,3
26362,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26362.jpg,"bottle:0.51, bottle:0.35",product_display,2
26363,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26363.jpg,"bottle:0.61, bottle:0.36, bottle:0.34, bottle:0.33, bottle:0.29, bottle:0.29, bottle:0.28, bottle:0.27, bottle:0.27",product_display,9
26364,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26364.jpg,bottle:0.86,product_display,1
26365,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26365.jpg,none,other,0
26366,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26366.jpg,none,other,0
26367,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26367.jpg,none,other,0
26368,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26368.jpg,bottle:0.27,product_display,1
26369,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26369.jpg,"bottle:0.51, bottle:0.51, dining table:0.46, bottle:0.42, bottle:0.42, cup:0.37, bottle:0.34, bottle:0.33, bottle:0.32, bottle:0.31, bottle:0.30, bottle:0.29",product_display,12
26370,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26370.jpg,person:0.31,lifestyle,1
26371,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26371.jpg,"person:0.68, stop sign:0.29",lifestyle,2
26372,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26372.jpg,none,other,0
26373,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26373.jpg,none,other,0
26374,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26374.jpg,cup:0.39,product_display,1
26375,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26375.jpg,"bottle:0.47, book:0.26",product_display,2
26376,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26376.jpg,cup:0.35,product_display,1
26377,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26377.jpg,bottle:0.81,product_display,1
26378,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26378.jpg,bottle:0.34,product_display,1
